#,"English
{[@2#1~en~0@]}","Chinese (Simplified)
{[@2#1~zh-Hans~0@]}","Import Status 
"57
{[@1#8383#39677#36381668@]}",Application Service,应用服务," 
{[@3#@]}"," 
{[@3#@]}",
"58
{[@1#8383#39677#36381669@]}",Application Services,应用服务," 
{[@3#@]}"," 
{[@3#@]}",
"59
{[@1#8383#39677#36381670@]}",Application Services and Templates,应用服务和模板," 
{[@3#@]}"," 
{[@3#@]}",
"60
{[@1#8383#39677#36381671@]}",Application Service List,应用服务列表," 
{[@3#@]}"," 
{[@3#@]}",
"61
{[@1#8383#39677#36381672@]}",Templates,模板," 
{[@3#@]}"," 
{[@3#@]}",
"62
{[@1#8383#39677#36381673@]}",Distributed Applications,分布式应用," 
{[@3#@]}"," 
{[@3#@]}",
"63
{[@1#8383#39677#36381674@]}",Application Security,应用安全," 
{[@3#@]}"," 
{[@3#@]}",
"64
{[@1#8383#39677#36381675@]}",Data Protection,数据保护," 
{[@3#@]}"," 
{[@3#@]}",
"65
{[@1#8383#39677#36381676@]}",Event Details,事件详细信息," 
{[@3#@]}"," 
{[@3#@]}",
"66
{[@1#8383#39677#36381677@]}",Application Security Firewall,应用安全防火墙," 
{[@3#@]}"," 
{[@3#@]}",
"67
{[@1#8383#39677#36381678@]}",Apply,应用," 
{[@3#@]}"," 
{[@3#@]}",
"68
{[@1#8383#39677#36381679@]}",Apply Access Policy,应用访问策略," 
{[@3#@]}"," 
{[@3#@]}",
"69
{[@1#8383#39677#36381680@]}",Commited,已确定," 
{[@3#@]}"," 
{[@3#@]}",
"70
{[@1#8383#39677#36381681@]}",Modified,已修改," 
{[@3#@]}"," 
{[@3#@]}",
"71
{[@1#8383#39677#36381682@]}",Apply changes and refresh,应用更改并刷新," 
{[@3#@]}"," 
{[@3#@]}",
"72
{[@1#8383#39677#36381683@]}",ARP,ARP," 
{[@3#@]}"," 
{[@3#@]}",
"73
{[@1#8383#39677#36381684@]}",New ARP...,新建 ARP...," 
{[@3#@]}"," 
{[@3#@]}",
"74
{[@1#8383#39677#36381685@]}",ARP/NDP,ARP/NDP," 
{[@3#@]}"," 
{[@3#@]}",
"75
{[@1#8383#39677#36381686@]}",Assigned,已指派," 
{[@3#@]}"," 
{[@3#@]}",
"76
{[@1#8383#39677#36381687@]}",At Least...,至少...," 
{[@3#@]}"," 
{[@3#@]}",
"77
{[@1#8383#39677#36381688@]}",At Least,至少," 
{[@3#@]}"," 
{[@3#@]}",
"78
{[@1#8383#39677#36381689@]}",Require,需要," 
{[@3#@]}"," 
{[@3#@]}",
"79
{[@1#8383#39677#36381690@]}",Attempts,尝试," 
{[@3#@]}"," 
{[@3#@]}",
"80
{[@1#8383#39677#36381691@]}",Audit,审计," 
{[@3#@]}"," 
{[@3#@]}",
"81
{[@1#8383#39677#36381692@]}",Audit Log,审计日志," 
{[@3#@]}"," 
{[@3#@]}",
"82
{[@1#8383#39677#36381693@]}",Authentication,认证," 
{[@3#@]}"," 
{[@3#@]}",
"83
{[@1#8383#39677#36381694@]}",Authentication Source,认证源," 
{[@3#@]}"," 
{[@3#@]}",
"84
{[@1#8383#39677#36381695@]}",Authorization,授权," 
{[@3#@]}"," 
{[@3#@]}",
"85
{[@1#8383#39677#36381696@]}",Authorization Profiles,授权概要文件," 
{[@3#@]}"," 
{[@3#@]}",
"86
{[@1#8383#39677#36381697@]}",Authorization Profile,授权概要文件," 
{[@3#@]}"," 
{[@3#@]}",
"87
{[@1#8383#39677#36381698@]}",Authentication Profiles,认证概要文件," 
{[@3#@]}"," 
{[@3#@]}",
"88
{[@1#8383#39677#36381699@]}",Authentication Profile,认证概要文件," 
{[@3#@]}"," 
{[@3#@]}",
"89
{[@1#8383#39677#36381700@]}",Authentication Service,认证服务," 
{[@3#@]}"," 
{[@3#@]}",
"90
{[@1#8383#39677#36381701@]}",Cannot change authentication source to remote because the current ConfigSync user would be remotely authenticated.,由于当前 ConfigSync 用户将通过远程认证，无法将认证源更改为远程端。," 
{[@3#@]}"," 
{[@3#@]}",
"90-2
{[@1#8383#39677#36394343@]}",\n\nPlease change the ConfigSync user to a local-only user such as admin.,\n\n请将 ConfigSync 用户更改为仅限本地的用户，例如 admin。," 
{[@3#@]}"," 
{[@3#@]}",
"91
{[@1#8383#39677#36381702@]}",Authentication Type,认证类型," 
{[@3#@]}"," 
{[@3#@]}",
